Animal,Day,Session,Cricket,On,Approach Start,Capture,Consumption,Score,Notes,Time2Capture,Latency,Attack Duration,FPS
XP01,1,1,1,5031,8456,9938,12350,,48593,245.35,171.25,74.1,20
,1,1,2,13034,13255,13349,14315,,,15.75,11.05,4.7,
,1,1,3,18453,19059,19280,19950,,,41.35,30.3,11.05,
,1,1,4,21313,21317,21345,23985,,,1.6,0.2,1.4,
,1,1,5,25238,25413,25703,27377,,,23.25,8.75,14.5,
,1,1,6,28007,28382,28397,29630,,,19.5,18.75,0.75,
,1,1,7,33116,33216,33230,36733,,,5.7,5,0.7,
,1,1,8,38056,38245,38285,39350,,,11.45,9.45,2,
,1,1,9,42152,42227,42241,43220,,,4.45,3.75,0.7,
,1,1,10,45044,45212,45238,48273,,,9.7,8.4,1.3,
,1,2,1,7589,7591,7606,9334,,35085,0.85,0.1,0.75,
,1,2,2,9896,9996,10846,12772,,,47.5,5,42.5,
,1,2,3,13292,13549,13580,14075,,,14.4,12.85,1.55,
,1,2,4,15402,15668,15793,17120,,,19.55,13.3,6.25,
,1,2,5,17143,17171,17203,18914,,,3,1.4,1.6,
,1,2,6,18940,18947,19005,22016,,,3.25,0.35,2.9,
,1,2,7,22373,22440,22472,24632,,,4.95,3.35,1.6,
,1,2,8,24788,24858,24883,25635,,,4.75,3.5,1.25,
,1,2,9,26030,26044,26145,28222,,,5.75,0.7,5.05,
,1,2,10,32325,32334,32350,33470,,,1.25,0.45,0.8,
,1,3,1,6863,7135,7237,8834,,40086,18.7,13.6,5.1,
,1,3,2,9904,9941,10546,13473,,,32.1,1.85,30.25,
,1,3,3,15381,15635,15829,16264,,,22.4,12.7,9.7,
,1,3,4,19383,19392,19420,22027,,,1.85,0.45,1.4,
,1,3,5,24744,24775,24794,26810,,,2.5,1.55,0.95,
,1,3,6,27547,27555,27606,27860,,,20.2,3.9,16.3,
,1,3,7,28946,29024,29350,30208,,,0.7,0.1,0.6,
,1,3,8,31016,31018,31030,33223,,,13.35,4.5,8.85,
,1,3,9,34058,34148,34325,35424,,,3.65,0.3,3.35,
,1,3,10,36120,36126,36193,38789,,,#REF!,#REF!,#REF!,
,2,4,1,6150,6385,6490,7294,,31284,17,11.75,5.25,
,2,4,2,8710,8898,8961,9760,,,12.55,9.4,3.15,
,2,4,3,10690,10711,10760,11943,,,3.5,1.05,2.45,
,2,4,4,13099,13103,13423,13704,,,16.2,16.3,7.25,
,2,4,5,16107,16433,16578,17940,,,13.15,9.75,3.4,
,2,4,6,18603,18798,18866,19444,,,4.3,0.25,4.05,
,2,4,7,21981,21986,22067,22003,,,20.15,15.4,4.75,
,2,4,8,23989,24297,24392,25130,,,5.55,4.75,0.8,
,2,4,9,25367,25462,25478,26219,,,6.55,3.45,3.1,
,2,4,10,29619,29688,29750,30380,,,1,0.2,0.8,
,2,5,1,5227,5231,5247,6966,,32080,1,0.2,0.8,
,2,5,2,9034,9047,9181,9814,,,7.35,0.65,6.7,
,2,5,3,10659,10663,10696,11605,,,1.85,0.2,1.65,
,2,5,4,13484,13487,13525,14564,,,2.05,0.15,1.9,
,2,5,5,16068,16070,16202,17320,,,6.7,0.1,6.6,
,2,5,6,17677,17681,17796,18408,,,5.95,0.2,5.75,
,2,5,7,24736,25460,25475,26324,,double ignore,36.95,36.2,0.75,
,2,5,8,26721,26895,27202,28222,,,24.05,8.7,15.35,
,2,5,9,28229,28925,28967,29640,,,36.9,34.8,2.1,
