Animal,Day,Session,Cricket,On,Approach Start,Capture,Consumption,Score,Notes,Time2Capture,Latency,Attack Duration,FPS
PV11,1,1,1,3724,3993,4095,4998,,total = 21144,18.55,13.45,5.1,20
,1,1,2,5418,5420,5443,5949,,,1.25,0.1,1.15,
,1,1,3,7532,7643,7823,7985,,,14.55,5.55,9,
,1,1,4,8834,8859,9263,9635,,,21.45,1.25,20.2,
,1,1,5,11513,11565,11585,12141,,,3.6,2.6,1,
,1,1,6,12969,13019,13041,13224,,,3.6,2.5,1.1,
,1,1,7,14153,14158,14171,14621,,,0.9,0.25,0.65,
,1,1,8,15746,16003,16036,16338,,,14.5,12.85,1.65,
,1,1,9,17517,17528,17655,18382,,,6.9,0.55,6.35,
,1,1,10,20181,20304,20322,20819,,,7.05,6.15,0.9,
,1,2,1,10400,10408,10454,10916,,total = 25967,2.7,0.4,2.3,
,1,2,2,12107,12110,12123,12846,,,0.8,0.15,0.65,
,1,2,3,14120,14136,14152,14757,,,1.6,0.8,0.8,
,1,2,4,15731,15734,15739,16086,,,0.4,0.15,0.25,
,1,2,5,18415,18592,18631,18783,,,10.8,8.85,1.95,
,1,2,6,20479,20482,20597,20809,,,5.9,0.15,5.75,
,1,2,7,21270,21380,21395,21784,,,6.25,5.5,0.75,
,1,2,8,23530,23631,23670,24025,,,7,5.05,1.95,
,1,2,9,24890,24893,24898,25386,,,0.4,0.15,0.25,
,1,2,10,,,,,,,0,0,0,
,1,3,1,9005,9014,9026,9859,,total = 32194,1.05,0.45,0.6,
,1,3,2,12038,12089,12139,13107,,,5.05,2.55,2.5,
,1,3,3,14974,14980,15015,15940,,,2.05,0.3,1.75,
,1,3,4,17743,17748,17787,18469,,,2.2,0.25,1.95,
,1,3,5,19756,19794,19817,20732,,,3.05,1.9,1.15,
,1,3,6,22360,22398,22505,23410,,,7.25,1.9,5.35,
,1,3,7,24335,24339,24347,25519,,,0.6,0.2,0.4,
,1,3,8,26375,26420,26443,28146,,,3.4,2.25,1.15,
,1,3,9,29265,29272,29312,30091,,,2.35,0.35,2,
,1,3,10,31014,31032,31045,32183,,,1.55,0.9,0.65,
,2,4,1,,,,,,,0,0,0,
,2,4,2,,,,,,,0,0,0,
,2,4,3,,,,,,,0,0,0,
,2,4,4,,,,,,,0,0,0,
,2,4,5,,,,,,,0,0,0,
,2,4,6,,,,,,,0,0,0,
,2,4,7,,,,,,,0,0,0,
,2,4,8,,,,,,,0,0,0,
,2,4,9,,,,,,,0,0,0,
,2,4,10,,,,,,,0,0,0,
,2,5,1,,,,,,,0,0,0,
,2,5,2,,,,,,,0,0,0,
,2,5,3,,,,,,,0,0,0,
,2,5,4,,,,,,,0,0,0,
,2,5,5,,,,,,,0,0,0,
,2,5,6,,,,,,,0,0,0,
,2,5,7,,,,,,,0,0,0,
,2,5,8,,,,,,,0,0,0,
,2,5,9,,,,,,,0,0,0,
,2,5,10,,,,,,,0,0,0,
